 ,Label,Area,Mean,Min,Max,Angle,Length
1,SD,0.110,37.329,4.606,42.137,67.750,0.406
2,,13.148,96.704,46.343,123.956,180.000,48.446
3,Min,13.148,96.704,36.000,123.956,0.000,48.446
4,,13.440,108.793,36.000,155.000,0.000,49.459
5,,13.440,115.374,42.121,155.247,180.000,49.505
6,Mean,13.319,140.517,44.006,180.090,105.000,49.020
7,,13.294,171.702,49.513,217.859,90.000,49.009
8,,13.294,171.964,44.500,195.250,90.000,48.919
9,,13.294,178.566,45.559,233.227,90.000,48.784
10,Max,13.440,178.566,49.513,233.227,180.000,49.505
